id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,cluster
6t0xAgZ8xTJkaLsivSWh5z,The Hardest Thing In the World,The Complete Stone Roses,2X30YPHjEbDLtxwsHnUabT,['The Stone Roses'],['1lYT0A0LV5DUfxr6doRP3d'],8,1,False,0.4270000000000001,0.895,9,-9.048,1,0.0475,0.1119999999999999,0.0,0.3429999999999999,0.598,140.385,161533,4.0,1995,1995-05-15,1
2Mny18rUnYmWI4miQ66kxv,Marvel,Martin Rev,10hTeAJHlOaW2nCaXZYmDc,['Martin Rev'],['4zDG2kkm3SmF383uO3Hgo8'],8,1,False,0.0657,0.523,3,-14.967,0,0.054,0.813,0.948,0.0986,0.0775,74.02199999999998,773027,4.0,2002,2002-10-08,4
4rUJvsznlg30n1RkCdJl8P,Disillusion - Black Lodge Mix,Disillusion,28GxeRP74uhZxTewnIZuyd,"['Badly Drawn Boy', 'Black Lodge']","['244fcyNSuyhbRlMGfMbYrO', '0BDXVCqEZvEduDm8Z4OSVR']",3,1,False,0.186,0.905,2,-4.782,0,0.0884,0.209,0.962,0.42,0.0887,153.94,131840,4.0,2000,2000,4
0la7kxOVcvNYvvzYSlSDz9,You Were Right,You Were Right,1wQIQuZGvVvfS4UB63ftVc,['Badly Drawn Boy'],['244fcyNSuyhbRlMGfMbYrO'],1,1,False,0.569,0.792,2,-6.21,1,0.0266,0.043,0.00161,0.3,0.637,131.041,292173,4.0,2002,2002-10-07,1
4XNZWe6lIUZboWUEfidn46,To Be with You,Turnaround,7cAUnQdYOGT2q0OPiBgTWO,['Westlife'],['5Z1CCuBsyhEHngq3U5IraY'],10,1,False,0.534,0.675,2,-5.018,1,0.0288,0.0732,0.0,0.111,0.639,166.96900000000005,200533,4.0,2003,2003-11-24,1
33P9Sm5CCNXqHXJ6E2ups6,In the Details 1,We Apologise For Any Inconvenience,0duwYYWvmZm8cSQRe5u0RD,['Zorras'],['7pzMfr6cKMht2pNA6mhomU'],2,1,False,0.568,0.1369999999999999,2,-18.1,1,0.0611,0.894,0.00116,0.1169999999999999,0.1,134.894,73187,3.0,2010,2010-03-01,0
0UxGJ0eyqOdcPrOWCNJtmp,Gold Dust,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],18,1,False,0.276,0.2239999999999999,3,-11.98,0,0.0352,0.923,0.00425,0.102,0.261,127.688,356147,4.0,2002,2002-10-28,2
1oJPoLhqaLJxya0rtgTtNk,The Demon Runner,Pickpocket's Locket,2UctYKqjHKpx7QaFIodzqh,['Frog Eyes'],['65iXZl2W8M8616GC3jfeeH'],5,1,False,0.5670000000000001,0.4429999999999999,2,-9.673,1,0.0537,0.5539999999999999,0.000472,0.113,0.413,113.339,253107,4.0,2015,2015-08-28,2
14qGdHR5HyhvYQt1PjMKlq,Disoriented,Shooting Star,5DfHOYTKoKh23OS6g2NKqS,['Reflected Illusions'],['0tQMeEhOqVRQBmOXCVmxyo'],4,1,False,0.24,0.2339999999999999,3,-18.012999999999995,1,0.0455,0.7879999999999999,0.945,0.0785,0.107,198.805,432000,3.0,2011,2011-12-12,0
49WrKFYjQp8XglindpMfsx,Even Now,Live Under the Red Moon,49IfAdGx0aRX0N7QSUaNsM,['The Call'],['2bSugToVO8DavocRulW3Yj'],8,1,False,0.3279999999999999,0.753,5,-8.842,0,0.0674,0.071,0.0030399999999999,0.964,0.474,148.917,301453,4.0,2000,2000-01-01,5
5XtlUa7sa0GqmrBMcqpNG3,Big Shot,Waste Of Mind,7bYhJeHWcA2fQcrdLEI5gJ,['zebrahead'],['6SiyKSeJo6gcsS2NvuAbsl'],8,1,False,0.564,0.96,7,-7.086,1,0.0893,0.00156,6.09e-06,0.0958,0.473,128.511,179600,4.0,1998,1998-10-01,1
576DmaRTiVhm3l00mpQwDm,Good Morning Little School Girl - Live,Johnny Winter: A Rock N' Roll Collection,6yn5Mylr8HsH9PVro7Fo22,['Johnny Winter'],['2ODUxmFxJSyvGiimNhMHbO'],2,1,False,0.294,0.941,6,-10.615,0,0.0935,0.188,0.422,0.974,0.639,187.886,276968,4.0,1973,1973,5
6hHv3OhqVeu2Cu82dlPqd2,These Boots Are Made For Walking,El Rauncho Grundge,4QJ2Ud0wIsaG4oWGURJbyX,['Too Slim and the Taildraggers'],['7CSwswyyJWwaxmOeCkzZQe'],9,1,False,0.5,0.768,3,-5.619,0,0.033,0.142,0.327,0.0966,0.884,110.576,324133,4.0,1992,1992,6
1fuxmrrP5JKu0eeHi1c7Ug,When You Got A Good Friend,Johnny Winter: A Rock N' Roll Collection,6yn5Mylr8HsH9PVro7Fo22,['Johnny Winter'],['2ODUxmFxJSyvGiimNhMHbO'],4,1,False,0.504,0.371,0,-12.6,1,0.0338,0.831,0.03,0.168,0.787,146.244,218453,4.0,1973,1973,2
0cduCQI29wXmkWDkIQ2uh2,Orion In The Sky,Fat City,6A9VRoIhp6OkoPp0goFZcs,['Shawn Colvin'],['0K7VN4aHxHcEb7PqkfoIVA'],6,1,False,0.436,0.371,2,-13.459,1,0.0258,0.37,0.0,0.107,0.3429999999999999,52.958,398067,4.0,1992,1992-10-27,2
1RqJYBleL85OXwqO8Ri82I,She Cries,"Perhaps, I Suppose",0mKXj9hXclmhvassTP0LCw,['Rufio'],['0HjoyITAvSVktTCjXUa40Q'],5,1,False,0.2789999999999999,0.916,9,-5.314,1,0.0824,0.0027199999999999,0.00535,0.1,0.5539999999999999,88.773,234920,4.0,2001,2001,1
1hR0fIFK2qRG3f3RF70pb7,Calm Like a Bomb,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],3,1,False,0.315,0.97,7,-5.424,1,0.483,0.0234,2.03e-06,0.122,0.37,149.749,298893,4.0,1999,1999-11-02,1
4MdlxZHzUi8fGvuXOtNVhb,Johnny B. Goode - Live,Johnny Winter: A Rock N' Roll Collection,6yn5Mylr8HsH9PVro7Fo22,['Johnny Winter'],['2ODUxmFxJSyvGiimNhMHbO'],1,1,False,0.415,0.777,6,-10.63,0,0.0792,0.023,0.0771,0.941,0.924,159.366,203407,4.0,1973,1973,5
39kncKQz9ggnwzXnjiiHNc,5 To 5,Martin Rev,10hTeAJHlOaW2nCaXZYmDc,['Martin Rev'],['4zDG2kkm3SmF383uO3Hgo8'],9,1,False,0.161,0.635,2,-16.915,1,0.113,0.903,0.846,0.364,0.109,82.27600000000002,123013,3.0,2002,2002-10-08,0
0AByf8LXqfnKa1UW7kbxsr,I Can't See New York,Scarlet's Walk,5JnLg2nd43M3NS4NfVrIdQ,['Tori Amos'],['1KsASRNugxU85T0u6zSg32'],12,1,False,0.4589999999999999,0.401,5,-11.675,0,0.0271,0.8759999999999999,0.0941,0.0762,0.18,101.636,434907,4.0,2002,2002-10-28,2
7H1lXASW9TbZlbd2pDjB4m,Family,Live Under the Red Moon,49IfAdGx0aRX0N7QSUaNsM,['The Call'],['2bSugToVO8DavocRulW3Yj'],6,1,False,0.408,0.518,2,-8.755,0,0.0556,0.297,0.00206,0.987,0.2,115.22,256601,4.0,2000,2000-01-01,5
