domain,algorithm_name,execution_time,n_clusters,n_outliers,silhouette_score,calinski_harabasz_score,davies_bouldin_score,balance_score,entropy_score,interpretability_score,coherence_score,granularity_bonus,meets_granularity_criteria,composite_score,valid_result,error_message,algorithm,k,eps,n_samples,n_features
semantic,kmeans_plus,2.828493118286133,6,0,0.03292602586494366,275.1049605070836,3.7940610881010848,0.5361543643864908,0.9328067479007358,0.728384152560272,0.728384152560272,1.0,True,0.5614620437077431,True,,kmeans_plus,6.0,,7811,384
semantic,kmeans_plus,2.860868453979492,8,0,0.027900956662536218,227.05200112266039,3.7310551322418304,0.5307332209828532,0.9383458305302758,0.7182082428166349,0.7182082428166349,1.0,True,0.5570467583575633,True,,kmeans_plus,8.0,,7811,384
semantic,kmeans_plus,1.886949062347412,5,0,0.041650847544733964,313.06715067920493,3.5137583161947696,0.45703125602867456,0.8944442513879055,0.7171898811274008,0.7171898811274008,1.0,True,0.5367949801657926,True,,kmeans_plus,5.0,,7811,384
semantic,kmeans_plus,2.777222156524658,7,0,0.031763015774806294,248.39846900313316,3.7923559502980786,0.4364537403397202,0.9096714603971698,0.7100511881548923,0.7100511881548923,1.0,True,0.5277108120991155,True,,kmeans_plus,7.0,,7811,384
semantic,hierarchical_ward,12.180679321289062,7,0,0.014844721808285721,189.15463354276167,4.5927349979704335,0.42079537489409424,0.9082621852936792,0.7063349141375336,0.7063349141375336,1.0,True,0.5197323035669779,True,,hierarchical_ward,7.0,,7811,384
semantic,hierarchical_ward,12.581676244735718,5,0,0.030095034282088488,233.47567641788456,4.227032139427554,0.285203624727681,0.8617235000216967,0.7261009273455771,0.7261009273455771,1.0,True,0.48529552802973297,True,,hierarchical_ward,5.0,,7811,384
semantic,hierarchical_ward,12.624287128448486,8,0,0.018545226368717176,175.04294045876043,4.123917790243955,0.275873788389172,0.8555869341494678,0.7428326201817246,0.7428326201817246,1.0,True,0.484110444508404,True,,hierarchical_ward,8.0,,7811,384
semantic,hierarchical_ward,12.226500511169434,6,0,0.03382221610106764,208.61620434226177,4.113535471616012,0.11135235376098762,0.8079675393220808,0.6919012500370717,0.6919012500370717,1.0,True,0.42685928855087074,True,,hierarchical_ward,6.0,,7811,384
semantic,hierarchical_average,11.593304634094238,5,0,0.40526596473547905,9.090250808306363,1.2524043164081016,0.0,0.007751896414722046,0.4632001147665991,0.4632001147665991,1.0,True,0.40342991766364167,True,,hierarchical_average,5.0,,7811,384
semantic,hierarchical_average,12.67050552368164,6,0,0.3986000486058077,8.200156778090587,1.141218088599059,0.0,0.007674887894278602,0.4632320515172008,0.4632320515172008,1.0,True,0.40243641759431126,True,,hierarchical_average,6.0,,7811,384
semantic,hierarchical_average,11.964532375335693,7,0,0.395729095355836,7.603920183377638,1.062105116446824,0.0,0.00772229577421241,0.46326380937673367,0.46326380937673367,1.0,True,0.40201212617872206,True,,hierarchical_average,7.0,,7811,384
semantic,hierarchical_average,12.396525382995605,8,0,0.39114838650394396,7.447683613959388,1.1038894961535446,0.0,0.008367653423002835,0.43601313534987785,0.43601313534987785,1.0,True,0.3958748850455672,True,,hierarchical_average,8.0,,7811,384
semantic,gmm_tied,63.83220863342285,5,0,0.0009127688956053004,208.66949865535778,3.333101799269125,0.0,0.5971958562728847,0.7227483801737731,0.7227483801737731,1.0,True,0.39468659136909545,True,,gmm_tied,5.0,,7811,384
semantic,gmm_tied,97.05257964134216,7,0,0.027462852937523048,169.8327560143934,3.633451419594759,0.0,0.5818461868872205,0.6867292495291727,0.6867292495291727,1.0,True,0.391465277846463,True,,gmm_tied,7.0,,7811,384
semantic,gmm_tied,72.0639226436615,6,0,0.02899714086328146,214.97607842244653,3.8386575880621563,0.0,0.7118179281399002,0.682207563795127,0.682207563795127,1.0,True,0.3907910838885176,True,,gmm_tied,6.0,,7811,384
semantic,gmm_tied,117.97194814682007,8,0,0.010595493993625936,135.66635937806168,4.035986902991507,0.0,0.5819743919655599,0.6902552904106103,0.6902552904106103,1.0,True,0.3896403821811659,True,,gmm_tied,8.0,,7811,384
semantic,dbscan_cosine,1.5952119827270508,2,4543,0.29948240986280655,101.02182183786412,1.1246813609526944,0.025091799265605896,0.09723382402767577,0.8489931945946114,0.8489931945946114,0.0,False,0.37224854017802506,True,,dbscan_cosine,,0.1,7811,384
semantic,dbscan_cosine,1.5477354526519775,1,1215,-1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,Invalid clustering result,dbscan_cosine,,0.15,7811,384
semantic,dbscan_cosine,1.7321960926055908,1,507,-1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,Invalid clustering result,dbscan_cosine,,0.2,7811,384
semantic,dbscan_cosine,1.8236322402954102,1,299,-1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,Invalid clustering result,dbscan_cosine,,0.25,7811,384
semantic,dbscan_cosine,2.071500062942505,1,199,-1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,Invalid clustering result,dbscan_cosine,,0.3,7811,384
