domain,algorithm_name,execution_time,n_clusters,n_outliers,silhouette_score,calinski_harabasz_score,davies_bouldin_score,balance_score,entropy_score,interpretability_score,coherence_score,granularity_bonus,meets_granularity_criteria,composite_score,valid_result,error_message,algorithm,k,eps,n_samples,n_features
musical,kmeans_plus,0.4958021640777588,10,0,0.0965187404296657,620.7013660026098,1.9888898599769356,0.7546870968109431,0.9870550881842266,0.31864923168710707,0.31864923168710707,1.0,True,0.5546137864451541,True,,kmeans_plus,10.0,,7811,12
musical,kmeans_plus,0.45518016815185547,9,0,0.10278764153686046,658.4522230910372,1.9700959181162139,0.7310938231676167,0.9836696396337584,0.3133992385428599,0.3133992385428599,1.0,True,0.5474261408893861,True,,kmeans_plus,9.0,,7811,12
musical,kmeans_plus,0.3846566677093506,8,0,0.10630237880356758,701.3019999064988,1.9488348563978968,0.670748280930247,0.9739881593951775,0.2954221854533627,0.2954221854533627,1.0,True,0.5262542781902817,True,,kmeans_plus,8.0,,7811,12
musical,kmeans_plus,0.35444068908691406,6,0,0.10706768396410792,780.9233016127357,2.0414638367311357,0.6529057169927918,0.9637939622395604,0.2926709574052174,0.2926709574052174,1.0,True,0.5204660591734972,True,,kmeans_plus,6.0,,7811,12
musical,hierarchical_ward,2.348665475845337,10,0,0.043412940600162576,457.2533689380745,2.1803032098843333,0.6494667107623817,0.9741499527045269,0.32287854349503065,0.32287854349503065,1.0,True,0.5159276630177451,True,,hierarchical_ward,10.0,,7811,12
musical,kmeans_plus,0.342557430267334,7,0,0.11123815315964797,747.7081203208282,1.9512794342366944,0.6313320626905252,0.963870771072206,0.28534478508135996,0.28534478508135996,1.0,True,0.5131542987973767,True,,kmeans_plus,7.0,,7811,12
musical,hierarchical_ward,2.576738119125366,8,0,0.05822118385043668,517.9338740947522,2.22483715984663,0.650991209219679,0.97261369149416,0.2869453617116802,0.2869453617116802,1.0,True,0.5114196126858053,True,,hierarchical_ward,8.0,,7811,12
musical,hierarchical_ward,2.6286749839782715,7,0,0.05973833135007802,545.4562252102696,2.289214940921481,0.6226750925363315,0.9638595454304928,0.27455626988953596,0.27455626988953596,1.0,True,0.5006745314413183,True,,hierarchical_ward,7.0,,7811,12
musical,hierarchical_ward,2.4795165061950684,9,0,0.04816305710015396,483.7569044266191,2.1480346454989765,0.5747093183582989,0.9628423592972404,0.31108309484874264,0.31108309484874264,1.0,True,0.49185387304226125,True,,hierarchical_ward,9.0,,7811,12
musical,kmeans_plus,3.7765953540802,5,0,0.11323930053876058,830.5408809709888,2.12955764345513,0.5453783505363221,0.9330661360142573,0.26973155440414204,0.26973155440414204,1.0,True,0.4845457111225392,True,,kmeans_plus,5.0,,7811,12
musical,hierarchical_ward,3.887465238571167,5,0,0.06834785004653976,594.141374978292,2.639535157249027,0.5130140490373285,0.9267206524042932,0.25217412858353144,0.25217412858353144,1.0,True,0.4645912179348858,True,,hierarchical_ward,5.0,,7811,12
musical,hierarchical_ward,3.395778179168701,6,0,0.07258398688243306,564.3496985476534,2.467453322328181,0.46330481736301066,0.9253599998588321,0.25282674508181424,0.25282674508181424,1.0,True,0.450444392257631,True,,hierarchical_ward,6.0,,7811,12
musical,dbscan_euclidean,1.7602522373199463,2,6832,0.22236343776816703,257.8726465402988,1.6900285925231173,0.5822267620020429,0.8701551343313331,0.4621039109813996,0.4621039109813996,0.0,False,0.4504433264621178,True,,dbscan_euclidean,,1.5,7811,12
musical,gmm_full,4.107668876647949,5,0,0.03565315562146891,274.3582274846476,4.528787985195452,0.432054706333424,0.9066166892889442,0.2335988061536849,0.2335988061536849,1.0,True,0.43168414647398445,True,,gmm_full,5.0,,7811,12
musical,gmm_full,4.880484104156494,6,0,0.03351007774502036,224.69278267017043,4.02349766308964,0.23508741370217245,0.8188682307700663,0.25078424795345955,0.25078424795345955,1.0,True,0.37570958536309673,True,,gmm_full,6.0,,7811,12
musical,hierarchical_average,2.344019889831543,6,0,0.16820529988520688,44.06530018672319,1.407898007570769,0.0,0.04806861238429598,0.4549675999072628,0.4549675999072628,1.0,True,0.3662243149642336,True,,hierarchical_average,6.0,,7811,12
musical,gmm_full,5.359453439712524,10,0,0.00010742554522980482,201.98331283492695,3.338765603233999,0.14757499066848123,0.8135459028974379,0.3337957354840103,0.3337957354840103,1.0,True,0.3610477581291309,True,,gmm_full,10.0,,7811,12
musical,hierarchical_average,2.296797037124634,5,0,0.17472625435991002,53.175162136874874,1.3669098372820208,0.0,0.05189238481268536,0.42206239517629396,0.42206239517629396,1.0,True,0.36062141718924534,True,,hierarchical_average,5.0,,7811,12
musical,hierarchical_average,2.376032829284668,7,0,0.12201680794927494,40.885575094291596,1.4219179894536857,0.0,0.05181465111084416,0.4548708396226105,0.4548708396226105,1.0,True,0.35927668911691335,True,,hierarchical_average,7.0,,7811,12
musical,hierarchical_average,2.6399970054626465,10,0,0.10653659385379372,36.59448215387743,1.2645791230443968,0.0,0.06369589878628629,0.44798166871425693,0.44798166871425693,1.0,True,0.3555768228209204,True,,hierarchical_average,10.0,,7811,12
musical,hierarchical_average,2.3610169887542725,8,0,0.11083619741523337,46.39926796234728,1.4634981414130883,0.0,0.07009469766499331,0.4444928976761184,0.4444928976761184,1.0,True,0.3555240091475087,True,,hierarchical_average,8.0,,7811,12
musical,hierarchical_average,2.5724854469299316,9,0,0.10945666746197018,40.91420620442352,1.3567953801652832,0.0,0.06659270571623917,0.4445741871436347,0.4445741871436347,1.0,True,0.35533333754802243,True,,hierarchical_average,9.0,,7811,12
musical,gmm_full,5.210656404495239,7,0,0.004927533046156204,214.3793865501236,3.5392515124463153,0.09124245937488962,0.765362511107497,0.2987054012317874,0.2987054012317874,1.0,True,0.33785294801574783,True,,gmm_full,7.0,,7811,12
musical,gmm_full,5.49566125869751,9,0,0.004477836664583283,196.2048943071788,4.460661510446688,0.05026951365145316,0.8094778658552614,0.3140008037712433,0.3140008037712433,1.0,True,0.32855269034937207,True,,gmm_full,9.0,,7811,12
