id;name;album;album_id;artists;artist_ids;track_number;disc_number;explicit;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature;year;release_date
1F9Qg8dXGyF23kdxc1xdni;Demian;Shvat;0b1qOT69UD2UiteZUFl3os;['TATRAN'];['3gzgB8WFPLlgpn03piQ5pB'];9;1;False;0,3379999999999999;0,579;10;-10,892;0;0,0289;0,409;0,924;0,1889999999999999;0,182;98,408;438120;3,0;2014;2014-11-12
6jHfCs4yiNMPqSmkx7jtB4;Sovereign Hunter;Exogenesis;4iV90Xv0rj6VCrGRqWHsYn;['Mike Rubino', 'Audiomachine'];['7wHSUAtaR2NE9GK8KcRpXA', '5F4ObszoeVebqtc0B3XqJa'];7;1;False;0,158;0,6579999999999999;2;-8,905;1;0,037;0,012;0,977;0,0415;0,079;86,177;159324;3,0;2019;2019-02-01
4Kqe7DnlHUyV2RuzDxQxew;Résistances: VII. Le plancher des vaches;Résistances;2uTj1mbPcbE41ELI29DUVC;['Jean Derome'];['4EbAqzS6xUF7grkBcqRmo1'];7;1;False;0,321;0,4479999999999999;8;-16,736;1;0,125;0,0445;0,654;0,31;0,252;93,789;365720;3,0;2017;2017-12-08
4lH0rmoA1zQVB2ZYLccp8g;Zea Field Infinity;Blue Marble Agony;5dOJWhKhxskhvLBnhR4iXQ;['Euglossine'];['7dqSnhzWORkW3ncytnzbO2'];2;1;False;0,39;0,514;8;-10,018;1;0,0325;0,723;0,8490000000000001;0,162;0,0359;106,856;195918;3,0;2020;2020-10-04
2IKXxFUPyDM35m1UoDCQ4d;Mature Themes;Mature Themes;1jwYz1xqRIG9jfLdwlnLS4;['Biblical'];['7D0TAmTdFIuTUMYsJvpI2L'];1;1;False;0,444;0,966;8;-4,3610000000000015;1;0,0678;0,000503;0,883;0,424;0,212;125,046;194394;3,0;2017;2017-07-28
42sB5BLmQDihbsRqC5diN3;Atackla;Empros;2evkzWDPHn96GZ0In9GG1w;['Russian Circles'];['0AZ3VR0YbFcS0Kgei7L2QF'];4;1;False;0,22;0,8079999999999999;9;-6,909;1;0,0533;0,0157;0,8809999999999999;0,109;0,0341;148,836;447266;3,0;2011;2011-10-25
6LU46C9LfruCFiXQ1xvaaa;Dö I Tid - Live;Ultra Gruta • Live i Porto;5TBkhrc4ehnxYPzkxW3q1B;['Svederna'];['5JqYJuCK8RDEZvJ3KOKKkR'];6;1;False;0,122;0,921;9;-7,681;1;0,0862;0,0145;0,934;0,163;0,208;149,74200000000005;350677;3,0;2020;2020-01-24
5yijfHZP1zjXHxi2B0znMd;The Great War;Total War: Three Kingdoms (Original Soundtrack) [Deluxe Edition];1mHnxWYvuv5VPzCEOpQZyB;['Tim Wynn'];['1lcWUPNe7Ggv5SJoWYe3PJ'];44;1;False;0,4639999999999999;0,6729999999999999;5;-8,11;0;0,0378;0,185;0,901;0,071;0,585;97,964;125231;3,0;2020;2020-09-22
59yYgpdPg6SJipVEaoOvUW;Black Storm;Garden of Storms;3qWVsmgKcIS0ot77ni4dv1;['In Mourning'];['0gsIXiV7rw5I9wJaxgoOdB'];1;1;False;0,423;0,951;10;-5,704;1;0,0427;7,79e-06;0,923;0,127;0,0736;112,516;443960;3,0;2019;2019-10-04
1YMxboQgdq77cZp2DGUUAB;Hand of Glory;Black Grimoire;1xVhVTw28D4runaj29VuFs;['Blood Ritual'];['0sHap1G5k01uQ38pTTWpNx'];6;1;True;0,21;0,975;7;-7,64;1;0,127;0,000231;0,67;0,366;0,039;90,576;370400;3,0;2005;2005-04-26
74hqIUObUlROAu0TWRAaQG;The Tapestry Suite;Shatter the Sky;20H6Psxwp8xcKcUlKQTlY2;['Flight of Fire'];['6420xL2UOII9dHs4DHZw4k'];12;1;False;0,266;0,934;9;-3,4810000000000003;0;0,0706;0,0183;0,8590000000000001;0,3779999999999999;0,303;134,68200000000002;233007;3,0;2013;2013-08-03
